case_id,seed_label,condition,expected_wikitree_id,first_name,last_name,birth_year,birth_location,gender,perturbation_notes,candidate_count,expected_rank,top_1_correct,unique_top_1_correct,top_3_correct,top_5_correct,reciprocal_rank,retrieval_failed,returned_top_wikitree_id,returned_top_name,top_rank_score,top_confidence_score,confidence_interpretation,failure_reason,second_candidate_wikitree_id,second_candidate_rank_score,score_margin,top_score_tie,top_score_tie_size,first_name_score,last_name_score,birth_year_score,birth_location_score,gender_score
Clemens-1__full_profile,Samuel Langhorne Clemens / Mark Twain,full_profile,Clemens-1,Samuel,Clemens,1835.0,"Florida, Monroe, Missouri, United States",Male,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Clements-5705,25.79,74.21,False,1,1.0,1.0,1.0,1.0,1.0
Clemens-1__name_year,Samuel Langhorne Clemens / Mark Twain,name_year,Clemens-1,Samuel,Clemens,1835.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Clements-5705,51.86,48.14,False,1,1.0,1.0,1.0,,
Clemens-1__name_only,Samuel Langhorne Clemens / Mark Twain,name_only,Clemens-1,Samuel,Clemens,,,,Only first name and surname supplied.,5,1,True,False,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,100.0,65.0,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Clemens-10,100.0,0.0,True,2,1.0,1.0,,,
Clemens-1__noisy_input,Samuel Langhorne Clemens / Mark Twain,noisy_input,Clemens-1,Samuel,Clmeens,1835.0,"Missouri, United States",Male,One adjacent-character surname typo and a shortened birth location.,5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,93.97,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Clements-5705,22.62,71.35,False,1,1.0,0.857,1.0,0.746,1.0
Clemens-1__wrong_year,Samuel Langhorne Clemens / Mark Twain,wrong_year,Clemens-1,Samuel,Clemens,1855.0,"Florida, Monroe, Missouri, United States",Male,Birth year increased by exactly 20 years.,5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,56.67,46.67,Very weak candidate. Likely not reliable without substantial extra evidence.,,Byrd-7019,28.31,28.36,False,1,1.0,1.0,0.0,1.0,1.0
Clemens-1__wrong_location,Samuel Langhorne Clemens / Mark Twain,wrong_location,Clemens-1,Samuel,Clemens,1835.0,"Tokyo, Japan",Male,"Birth location replaced with the unrelated location 'Tokyo, Japan'.",5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,83.5,58.5,Weak candidate. Treat as exploratory unless supported by additional evidence.,,Clements-5705,25.79,57.71,False,1,1.0,1.0,1.0,0.125,1.0
Clemens-1__wrong_gender,Samuel Langhorne Clemens / Mark Twain,wrong_gender,Clemens-1,Samuel,Clemens,1835.0,"Florida, Monroe, Missouri, United States",Female,Gender replaced with the opposite dataset value.,5,1,True,True,True,True,1.0,False,Clemens-1,Samuel Langhorne Clemens,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Clements-5705,21.03,78.97,False,1,1.0,1.0,1.0,1.0,0.0
Franklin-10478__full_profile,Aretha Franklin,full_profile,Franklin-10478,Aretha,Franklin,1942.0,"Memphis, Shelby, Tennessee, United States",Female,All available identifying fields supplied correctly.,5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,100.0,100.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Siggers-12,0.0,100.0,False,1,1.0,1.0,1.0,1.0,1.0
Franklin-10478__name_year,Aretha Franklin,name_year,Franklin-10478,Aretha,Franklin,1942.0,,,"Only first name, surname and birth year supplied.",5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,100.0,95.0,Strong candidate based on close agreement across key fields. Still requires source verification.,,Adams-18362,4.03,95.97,False,1,1.0,1.0,1.0,,
Franklin-10478__name_only,Aretha Franklin,name_only,Franklin-10478,Aretha,Franklin,,,,Only first name and surname supplied.,5,1,True,True,True,True,1.0,False,Franklin-10478,Aretha Louise Franklin,100.0,80.0,"Plausible candidate, but at least one important field is missing, weak, or ambiguous.",,Adams-18362,49.36,50.64,False,1,1.0,1.0,,,
